alert_id,customer_id,geo_entropy,beneficiary_conc,median_tx_gap,foreign_wire_pct,cluster_id,outlier,hist_risk_score,queue_action,sar_filed
1,1614,1.449,0.115,33.0,0.063,20,0,0.02,q2_same_day,0
2,5733,1.177,0.227,35.2,0.045,20,0,0.02,q3_deferred,0
3,2397,1.231,0.162,35.2,0.032,20,0,0.02,q2_same_day,0
4,56,1.617,0.182,27.5,0.034,20,0,0.02,q2_same_day,0
5,5651,0.633,0.307,24.8,0.11,15,0,0.06,q3_deferred,0
6,789,0.912,0.216,8.6,0.275,5,0,0.15,q2_same_day,0
7,1161,0.997,0.16,27.3,0.013,20,0,0.02,q3_deferred,0
8,8998,1.462,0.234,34.1,0.032,20,0,0.02,q3_deferred,0
9,8638,1.293,0.209,34.9,0.0,20,0,0.02,q3_deferred,0
10,5374,1.252,0.202,35.9,0.053,20,0,0.02,q2_same_day,0
11,376,2.163,0.374,10.6,0.103,5,0,0.15,q1_immediate,0
12,2711,1.459,0.174,32.4,0.067,20,0,0.02,q2_same_day,0
13,3881,1.39,0.182,16.8,0.006,15,0,0.06,q3_deferred,0
14,7086,0.808,0.235,27.7,0.073,15,0,0.06,q3_deferred,0
15,3841,0.794,0.064,33.6,0.051,20,0,0.02,q2_same_day,0
16,8621,1.463,0.136,41.9,0.053,20,0,0.02,q2_same_day,0
17,2249,1.722,0.185,23.1,0.018,20,0,0.02,q2_same_day,0
18,6000,1.793,0.179,19.9,0.123,15,0,0.06,q2_same_day,0
19,5936,1.736,0.146,13.5,0.07,15,0,0.06,q2_same_day,0
20,6208,1.081,0.143,29.7,0.039,20,0,0.02,q2_same_day,0
21,910,1.288,0.263,31.9,0.038,20,0,0.02,q1_immediate,0
22,4722,0.982,0.117,44.6,0.012,20,0,0.02,q2_same_day,0
23,3723,0.842,0.188,18.8,0.043,20,0,0.02,q1_immediate,0
24,717,3.392,0.221,15.5,0.382,11,0,0.12,q3_deferred,1
25,354,1.576,0.282,29.4,0.002,20,0,0.02,q3_deferred,0
26,2537,1.462,0.326,34.4,0.034,20,0,0.02,q2_same_day,0
27,730,1.148,0.283,40.4,0.033,20,0,0.02,q1_immediate,0
28,666,0.874,0.255,37.4,0.061,20,0,0.02,q2_same_day,0
29,5229,1.277,0.077,30.3,0.063,20,0,0.02,q3_deferred,0
30,8733,0.856,0.134,34.5,0.028,20,0,0.02,q2_same_day,0
31,2306,0.9,0.148,35.6,0.054,20,0,0.02,q3_deferred,0
32,1945,1.538,0.226,25.3,0.057,20,0,0.02,q3_deferred,0
33,356,1.063,0.195,34.4,0.054,20,0,0.02,q3_deferred,0
34,2787,1.941,0.114,41.7,0.027,20,0,0.02,q1_immediate,0
35,5067,1.119,0.152,38.1,0.04,20,0,0.02,q3_deferred,0
36,2369,1.303,0.311,12.8,0.065,15,0,0.06,q3_deferred,0
37,8884,2.198,0.267,17.4,0.104,15,0,0.06,q2_same_day,0
38,1028,0.817,0.163,28.9,0.018,20,0,0.02,q2_same_day,0
39,3626,0.862,0.186,39.0,0.023,20,0,0.02,q2_same_day,0
40,2474,1.341,0.298,34.3,0.052,20,0,0.02,q3_deferred,0
41,1152,1.214,0.14,23.3,0.028,15,0,0.06,q3_deferred,0
42,6984,1.81,0.411,10.3,0.212,5,0,0.15,q3_deferred,0
43,5783,1.363,0.212,35.1,0.012,20,0,0.02,q2_same_day,0
44,2567,2.054,0.161,35.1,0.044,20,0,0.02,q1_immediate,0
45,5768,0.637,0.251,37.3,0.042,20,0,0.02,q2_same_day,0
46,7380,1.435,0.125,31.9,0.035,20,0,0.02,q1_immediate,0
47,3674,1.115,0.146,32.6,0.028,20,0,0.02,q3_deferred,0
48,7728,1.951,0.281,9.5,0.135,5,0,0.15,q2_same_day,0
49,6412,2.466,0.332,12.7,0.157,5,0,0.15,q1_immediate,0
50,5066,1.72,0.22,30.8,0.035,20,0,0.02,q2_same_day,0
51,5039,1.72,0.147,6.1,0.229,5,0,0.15,q2_same_day,0
52,7433,1.484,0.162,25.8,0.065,20,0,0.02,q1_immediate,0
53,5443,1.002,0.351,12.0,0.218,5,0,0.15,q3_deferred,0
54,1607,1.941,0.136,13.3,0.14,-1,1,0.09,q2_same_day,0
55,7106,1.448,0.089,32.1,0.0,20,0,0.02,q2_same_day,0
56,3524,0.791,0.204,31.7,0.024,20,0,0.02,q1_immediate,0
57,4107,1.389,0.184,32.5,0.03,20,0,0.02,q3_deferred,0
58,4177,1.97,0.388,17.5,0.049,15,0,0.06,q2_same_day,0
59,1513,1.359,0.179,29.4,0.056,20,0,0.02,q2_same_day,0
60,2049,1.505,0.156,24.6,0.0,20,0,0.02,q3_deferred,0
61,4674,1.483,0.139,24.9,0.004,20,0,0.02,q3_deferred,0
62,3136,2.156,0.375,25.7,0.091,15,0,0.06,q3_deferred,0
63,2206,1.433,0.107,37.9,0.036,20,0,0.02,q2_same_day,0
64,3126,0.987,0.18,21.9,0.116,-1,1,0.09,q1_immediate,0
65,3205,1.496,0.179,18.1,0.067,15,0,0.06,q3_deferred,0
66,6721,1.314,0.145,24.6,0.027,20,0,0.02,q2_same_day,0
67,2423,1.644,0.186,31.7,0.009,20,0,0.02,q3_deferred,0
68,633,1.21,0.178,20.0,0.024,20,0,0.02,q3_deferred,0
69,5476,1.319,0.19,27.8,0.052,20,0,0.02,q1_immediate,0
70,6116,0.971,0.186,22.0,0.098,-1,1,0.09,q2_same_day,0
71,1345,1.292,0.136,27.5,0.027,20,0,0.02,q1_immediate,0
72,6321,1.023,0.214,28.7,0.045,20,0,0.02,q1_immediate,0
73,4130,1.932,0.23,28.8,0.022,20,0,0.02,q1_immediate,0
74,6260,1.139,0.221,31.3,0.045,20,0,0.02,q3_deferred,0
75,6101,2.241,0.127,23.4,0.034,15,0,0.06,q2_same_day,0
76,7637,2.174,0.124,9.7,0.093,15,0,0.06,q1_immediate,0
77,8467,0.49,0.119,29.2,0.034,20,0,0.02,q2_same_day,0
78,4098,1.216,0.236,30.8,0.022,20,0,0.02,q1_immediate,0
79,7543,2.114,0.298,5.8,0.259,11,0,0.12,q1_immediate,0
80,8831,1.167,0.087,24.5,0.04,20,0,0.02,q1_immediate,0
81,3597,1.217,0.114,28.4,0.057,20,0,0.02,q2_same_day,0
82,1561,1.13,0.168,34.0,0.028,20,0,0.02,q3_deferred,0
83,1615,2.013,0.157,19.8,0.116,15,0,0.06,q2_same_day,0
84,4606,2.354,0.4,10.3,0.22,5,0,0.15,q3_deferred,0
85,3275,1.504,0.258,18.8,0.072,15,0,0.06,q1_immediate,0
86,7720,0.954,0.259,27.9,0.058,20,0,0.02,q3_deferred,0
87,628,1.609,0.158,43.0,0.0,20,0,0.02,q2_same_day,0
88,6571,1.176,0.147,38.2,0.067,20,0,0.02,q1_immediate,0
89,3551,2.013,0.211,33.1,0.052,20,0,0.02,q3_deferred,0
90,2269,1.19,0.208,28.8,0.005,20,0,0.02,q2_same_day,0
91,1521,1.399,0.389,7.4,0.205,5,0,0.15,q3_deferred,0
92,3736,0.737,0.22,23.2,0.048,15,0,0.06,q2_same_day,0
